variety,country,province,winery,price,points,expert wine description
Riesling,France,Alsace,Domaine Roland Schmitt,20.0,91.0,"So elegant, a wine with just a fine balance. It has creamy apple fruit flavors, hedgerow fruits, with a line of crisp acidity to cut through the fruitiness and give a more mineral edge. It will be worth aging this wine for 2–3 years. Drink after 2014."
Baga-Touriga Nacional,Portugal,Beiras,Quinta de Foz de Arouce,20.0,91.0,"Big, black colored wine that is firm and solid while also offering smooth richness. It has concentration, dense and bitter tannins that need time to soften out. Powerful and dense, age this wine for at least four years."
Red Blend,Italy,Tuscany,Bibbiano,20.0,91.0,"This charming wine has a bright character, showing notes of juicy wild cherry, mint and eucalyptus and accents of leather and truffle. Drink now or wait a few years for tannins to tame down."
Portuguese Red,Portugal,Alentejano,Monte da Ravasqueira,20.0,91.0,"Produced from selected parcels, this wine is solid with rich tannins and dark fruit. It has the flavors of new oak aging well integrated into the ripe texture and juicy acidity. Still firm, with tannins well in place, it needs to age a little longer. Drink from 2018."
Cabernet Sauvignon,Australia,South Australia,Kilikanoon,20.0,91.0,"Winemaker Kevin Mitchell has been gradually refining his style, pulling back on alcohol and oak without sacrificing fruit intensity. This is a fruit-driven Cabernet, loaded with black cherries and cassis and supported by restrained, just-right oak levels. It's medium-bodied, softly dusty yet firm, with a surprisingly long finish. Drink now–2025."
Pinot Gris,US,California,Navarro,20.0,91.0,"Rich but lively and dry, this wine packs a potpourri of spices and citrus fruits in its aromas and flavors, carrying them through to a lingering finish. Substantial and appetizing as an apéritif and excellent with seafood."
Friulano,Italy,Northeastern Italy,Comelli,20.0,91.0,"Fragrances recall acacia flower, chamomile, stone fruit and a whiff of dried hay. The savory palate offers intense white peach, Bartlett pear and yellow apple accented with mineral and almond notes alongside crisp acidity. It's well balanced with a long, lingering finish."
Grüner Veltliner,Austria,Carnuntum,Glatzer,20.0,91.0,"The fragrant freshness of cut Conference pears with grassy undertones promises immediate invigoration. A background of peppery savoriness, spicy length and mouthfeel destine this for food."
Riesling,US,California,Nacina,20.0,91.0,"Classic varietal smells of chalk and golden raisin emerge from this wine. It's lusciously smooth once sipped, with orange, limestone and vanilla pudding leaning up against bitter greens and just-ripe nectarine. Serve with beets and goat cheese or Chinese chicken salad."
Riesling,Austria,Kamptal,Eichinger,20.0,91.0,"Slight yeasty notes still cling to the nose but the palate opens up to peach and Mirabelle, to lemon zest and the freshest, crunchiest apples imaginable. This is pure, linear, ripe and poised. Aromatic citrus zest swirls above everything and leaves you refreshed and entranced."
Bordeaux-style Red Blend,France,Bordeaux,Château La Rame,20.0,91.0,"Ripe fruit, new wood flavors and a rounded character give this structured and textured wine a fine sense of shape. It has weight, richness and a well balanced texture. Age it for four years."
Bordeaux-style Red Blend,France,Bordeaux,Château la Tonnelle,20.0,91.0,"Mint aromas and new wood flavors mark this smoothly ripe, polished wine. It has a good amount of black fruit, a dry but open texture and a rich, smoky character. The tannins and generous fruit power the wine forward."
Chardonnay,US,Oregon,J. Christopher,20.0,91.0,"Neither oak aging nor malolactic fermentation was used here, hence the name. But far from madness, this wine is sleek, sensual, skillful and seductive. Crisp acidity, lemony minerality, an overriding freshness and excellent depth of flavor all combine to create a wine that seems to be more than the sum of its parts. Shellfish, light seafood, poultry and even pork dishes would be fine matches."
Aglianico,Italy,Southern Italy,San Martino,20.0,91.0,"Subdued aromas of dark-skinned berry, baking spice, truffle and leather slowly emerge in the glass. The chewy, delicious palate is more expressive, delivering juicy black cherry, raspberry jam, white pepper and a mineral note while firm, refined tannins provide youthful tension. Enjoy through 2020."
Pinot Gris,US,California,Horse & Plow,20.0,91.0,"Made from organic grapes, Horse & Plow's Pinot Gris is earthy and austere, with finely honed acidity and lovely hints of apricot. Very balanced, dry, a tremendous version of this white wine."
Chardonnay,US,Washington,Rulo,20.0,91.0,"Young and still a bit yeasty, with the flavors still integrating. The toasty barrel and bourbon flavors are matched to medium acids and stone fruits. This needs more time in the bottle to show all its strengths."
Cabernet Sauvignon-Merlot-Shiraz,Australia,South Australia,Wirra Wirra,20.0,91.0,"At 50% Cabernet Sauvignon, this is a firm, cassis-scented wine, but one that includes hints of ripeness and generous fruit. Dried herbs and brown sugar add nuance, while the velvety finish picks up some meaty, savory notes. Drink now–2025."
Malbec,Argentina,Mendoza Province,Don Manuel Villafañe,20.0,91.0,"Dry, mossy berry aromas carry punch, while this well-built Malbec feels concentrated but not heavy. Peppery, blackened berry flavors spill over with a black-coffee note on a slightly hot finish. Drink through 2020."
Chardonnay,South Africa,Constantia,Buitenverwachting,20.0,91.0,"Despite its age, this white still offers upfront ripe-fruit aromas of citrus, pear and apple, but is graced with additional complex accents of hazelnut, toasted oak, orange blossom, lanolin and soft, chalky minerality. Pineapple, fig and apple-flesh flavors fill the palate, with a smooth, creamy mouthfeel and ample acidic lift to the long, gently textured finish."
Rosé,US,Oregon,Paetra,20.0,91.0,"This well-made wine offers cherry pie flavors, evoking fruit but also crust, with excellent concentration and length. Despite its modest alcohol, it's a persistent, powerful rosé with enough concentration to stand up to entrées as rich as roast pork or chicken."
Encruzado,Portugal,Dão,Antonio Lopes Ribeiro,20.0,91.0,"Produced from the Dão's top white grapes, this wine is a beautiful combination of apricot-like fruitiness and taut texture. Full of crisp acidity and richer fruits, it will age well. Drink from 2018."
Shiraz,Australia,South Australia,Wyndham Estate,20.0,91.0,"This wine represents an excellent value, and one that showcases the quality potential of Langhorne Creek. It's creamy in texture, voluptuous in feel and full in body, with a bold flavor of red currant that's framed by ample cedar and vanilla notes. Long and creamy on the finish. Drink now–2018."
Tinta de Toro,Spain,Northern Spain,J. & F. Lurton,20.0,91.0,"Meaty, cuddly and kind is the best way to describe this big-boned, ultra ripe Toro. What makes it great is the price ($20 is a steal for this) and the complete lack of fierceness. It's easygoing but complex, with pulsing blackberry, plum and chocolate flavors. With modest but measurable tannins, it should age nicely for at least five years and maybe more, making it a bargain hunter's dream."
Sangiovese,US,Washington,Tulpen,20.0,91.0,"A juicy, delicious Sangio, whose bright acidity underscores a lush mix of raspberries, blackberries, boysenberries and plum. The alcohol is a substantial 14.8%. The wine benefits from an extra year of bottle age, and is now beginning to hint at grace notes of leaf and tobacco."
Viognier,Australia,South Australia,Yalumba,20.0,91.0,"Shows all the beautiful Viognier notes you could ask for: flowers, spice, apricot and melon, carried by a succulent mouthfeel that remains fresh and vibrant from start to lingeringly spicy finish. Drink now."
Malbec,Argentina,Mendoza Province,Zuccardi,20.0,91.0,"A home run in middle-tier Malbec. Excellent power and balance are on display. It's firm, minerally and tight, but with generous berry and cassis aromas and flavors along with ample coffee, spice and mocha qualities. Impressive, especially given the price tag; drink now through 2014."
Pinot Grigio,Italy,Northeastern Italy,Abbazia di Novacella,20.0,91.0,"Enticing fragrances suggest alpine wild flower, stone fruit and savory herb. The linear palate is loaded with finesse and character, delivering creamy green apple, tangerine, mineral, white peach and mint. It's well balanced with bright acidity."
Sauvignon,Italy,Northeastern Italy,Abbazia di Novacella,20.0,91.0,"Vibrant and elegant, this opens with classic varietal aromas of elderberry flower, passion fruit, crushed tomato vine, dry hay and stone fruit. The linear palate delivers white peach, cantaloupe, juicy citrus and a vein of mineral alongside bright acidity."
Romorantin,France,Loire Valley,Benoît Daridan,20.0,91.0,"Cour-Cheverny is a miniscule appellation of 180 acres within Cheverny, specializing in the rare Romorantin grapes. With care, as here, this hard-to-ripen grape can produce a remarkably rich, full-bodied wine even in a tough vintage. It's bone-dry with delicious melon and apple flavors. Drink now, but better wait until late 2015."
Portuguese Red,Portugal,Douro,Barão de Vilar,20.0,91.0,"This structured wine is balanced with great fruit, firm tannins and ripe berry flavors. Drink this impressive wine from 2019."
Rosé,France,Provence,Château Henri Bonnaud,20.0,91.0,"This is a ripe, beautifully balanced wine. It has the extra richness and density that comes from a wine produced from vines close to Mont Sainte-Victoire. Full of raspberry and orange fruits, it has a pleasantly tangy, herbal edge on the finish. Drink now."
Rosé,France,Provence,Domaine d'Eole,20.0,91.0,"With vineyards located in the small range of mountains known as the Alpilles (little Alps), this wine comes from a beautiful organic estate. The wine, with its full range of Provence grapes in the blend, is packed with red fruits. It has a tight texture that points up the fruitiness. Drink this finely structured wine now."
Chardonnay,US,California,Qupé,20.0,91.0,"One of the first releases since Charles Banks invested in Bob Lindquist's pioneering brand, this wine shows Japanese apple, lemon blossoms, lightly browned butter and a touch of tropicality on the nose. Still a bit wound up, the wine conveys potential length, with green-apple skins, nectarine flesh, cement-like minerality and a chive herb lift."
Riesling,US,California,Jana,20.0,91.0,"Classic smoky, spicy aromas and complex fruit flavors make this dry, light-bodied wine from veteran winemaker Scott Harvey fascinating to taste. Its green apple, grapefruit and peach hints are accented with light floral, spicy touches. Vibrant acidity keeps it lively and appetizing with each sip."
Shiraz,Australia,South Australia,Jenke,20.0,91.0,"This Barossa Shiraz eschews the superripe character found in many from the region in favor of a more balanced, Rhône-ish approach. There's a base of raspberry and vanilla sweetness, but also lots of herbal and spice complexity—notably cracked pepper and black olives. Has enough soft tannins to suggest drinking now–2018. Imported by 34th Parallel, LLC."
Blaufränkisch,Austria,Eisenberg,Jalits,20.0,91.0,"Wild bilberries abound on nose and palate and scent the entire drinking experience. The palate is fresh and vivid, as befits the slender red vintage of 2014. This has been handled with great care and turned out into a wine of elegance with poised, pure fruit and gentle structure."
Portuguese Red,Portugal,Douro,Quinta da Lagoalva de Cima,20.0,91.0,"This Douro wine is a new venture for Lagoalva, which is based in Tejo near Lisbon. Fermented in open stone fermenters, the wine is rich, endowed with fine tannins that are integrated into the full-bodied black fruits. The finish has acidity, layers of wood and a smooth aftertaste. Drink now."
Port,Portugal,Port,Royal Oporto,20.0,91.0,This is a rich complex wine from a great vintage Port year. It has much of the same intense fruit as the vintage wines but with the advantage of longer aging in barrel to allow the rich dark plum and spice to be more ready to drink. It is bottled to be drunk now although another six months into 2017 will make it even better.
St. Laurent,Austria,Thermenregion,Johanneshof Reinisch,20.0,91.0,"Aromatic blueberry scents this wine on nose and palate. The body is light but vivid with white pepper and crunchy, fresh, vibrant fruit. This is St. Laurent picked at exactly the right point of ripeness: luscious but still bright! A real treat with its long, smooth finish."
Chardonnay,US,California,Sea Monster,20.0,91.0,"This stylishly labeled wine by Adam Lazarre and Christian Tietje shows salted apples, lime blossoms and white flowers on the nose. The energetic palate offers just-cut green pears at first, then opens into a touch of vanilla. It tightens back down on green apple peels before ending with vanilla cream. The wine delivers a full experience."
Tempranillo,Spain,Northern Spain,Museum,20.0,91.0,"This Tempranillo from little-known Cigales opens with potent crushed brick, spice, toasty oak and berry aromas. The palate has a juicy, fresh outlook and no excess weight or overextraction. Its plum, berry, spice and vanilla flavors finish with a note of mature, sweet tobacco. Drink through 2020."
Pinot Gris,France,Alsace,Henri Schoenheitz,20.0,91.0,"Evocatively tender notes of Conference pear appear on the nose. The palate is ample with juicy pear and has a generous dollop of residual sweetness. Nonetheless, this is balanced by vigorous lively freshness, leaving a harmonious, rounded, light-footed and elegant wine with a moreish finish."
Portuguese Red,Portugal,Douro,Quinta de la Rosa,20.0,91.0,"From this family-owned estate in the heart of great Port country, this wine is both richly structured and packed with fruit. It has solid black fruits that are laced with intense acidity to keep the wine bright and crisp. At the same time, the tannins and the firm texture will allow it to age. Drink from 2019."
Riesling,Germany,Rheingau,Robert Weil,20.0,91.0,"Subtle notes of white grapefruit and struck flint intensify on the palate of this off-dry wine. Fresh tangerine sweetness is subtle and integrated, offset by nervy acidity and a cool, steely finish."
Merlot,Portugal,Bairrada,Nelson Neves,20.0,91.0,"This is a powerfully structured wine from one of the pioneers of Merlot in Bairrada. It is dark with tannins while also brimming with great black-fruit flavors. Rounded, balancing fruit and acidity, the wine is smooth, rich and now ready to drink."
Malbec-Merlot,France,Southwest France,Château de Chambert,20.0,91.0,"This is an impressively dark, rich wine made from biodynamically grown grapes to give pure perfumed fruitiness over dense, dusty tannins. The wine has a mineral texture to balance the black currant fruits and generous ripeness. It does need to age: give it until 2018."
Portuguese Red,Portugal,Douro,Quinta de la Rosa,20.0,91.0,"Fruity and juicy, this attractive wine has delicious soft tannins that are already balanced with the ripe fruitiness, which suggests it will develop quickly. The wine comes from Pinhão the estate owned by the Bergqvist family. Drink from 2019."
Shiraz-Grenache,Australia,South Australia,D'Arenberg,20.0,91.0,"This 50-50 blend is firm, focused and rich, offering attractive aromas of mint, vanilla, cedar and red-skinned plums. Flavors turn darker, suggesting espresso and chocolate, but enlivened by bright acids. A wine worth holding a few years, priced at $20? Buy now, drink after 2020."
Sauvignon Blanc-Semillon,Australia,Western Australia,Leeuwin Estate,20.0,91.0,"This blend of two-thirds Sauvignon Blanc and one-third Semillon gets a touch of barrel aging, reflected in its silky texture more than any overt aromas or flavors. The palate is fruit-forward, offering hints of citrus, underripe nectarine, wet stone and green apple, finishing long and mouthwatering."
Pinot Gris,US,Oregon,The Four Graces,20.0,91.0,"Well differentiated from the winery's Pinot Blanc, this round and fleshy wine offers freshly cut pear fruit with a burst of orange juice and peel. It's bright, lively, spicy and a great all-purpose white wine when you need a break from Chardonnay."
Cabernet Sauvignon,Australia,South Australia,Jim Barry,20.0,91.0,"This is a terrific value in balanced, ready-to-drink Australian Cabernet. It brings several Bordeaux-ish qualities to the table—medium body, silky tannins and aromas reminiscent of cigar box and Ribena—then adds varietally true flavors and a long finish. Drink now–2025."
Syrah,US,California,Alexander Valley Vineyards,20.0,91.0,This affordable wine offers tangy oak and tannin along with vibrant red fruit. Leather and juicy black plum add to its soft layers of flavor.
Roussanne,US,California,Truchard,20.0,91.0,"Packs plenty of powerful complexity into a dry wine that's a pretty good price. Made in full-Burgundian style, with barrel fermentation and lees aging, it's a rich, creamy wine packed with spicy tropical fruit and honeysuckle flavors. Try as an interesting alternative to an upscale Chardonnay."
Syrah,US,California,Frey,20.0,91.0,"This full-bodied and tannic wine balances richness and restraint well. The color is basically black with a smoky red rim, while the aroma is full of inviting ripe fruit, like boysenberries and blackberries with a whiff of wet earth and dried herbs. Flavors are almost as rich as the aroma, and the texture is quite grippy with tannins to give it structure."
Riesling,US,Oregon,Lemelson,20.0,91.0,"A pungent, sappy Riesling, with a strong scent of rock and rind. This is powerful stuff—dry and a bit lean, but packed with texture and flavor. Subtle hints of citrus, pear and honey weave through. This needs more time to develop in the bottle."
Chardonnay,France,Burgundy,Domaine Sangouard-Guyot,20.0,91.0,"This well-proportioned wine has ripe fruits along with generous texture and acidity. A touch of wood gives extra weight. It's ready to drink, but will be even better by the end of 2014."
Red Blend,US,California,Gifft,20.0,91.0,"Kathie Lee Gifford teams with Monterey County's Scheid Vineyards for this wine, which features 42% Merlot, 25% Petite Sirah, 12% Syrah and 10% Petit Verdot. There's a mix of iron, coffee and crushed, dried violet on the Old World-leaning nose. The herbal elegance continues on the palate, with dried oregano seasoning the dark black and blue fruit elements."
Zinfandel,US,California,Renwood,20.0,91.0,"A ripe and tasty style of Zinfandel from a grand old name in the Sierra Foothills. The maple and brown sugar tones from new oak integrate well with ripe but not overripe fruit flavors. Touches of clove and black pepper come out as you sip, adding welcome nuances."
Grenache Blanc,US,California,Terre Rouge,20.0,91.0,"Anyone making Grenache Blanc in California should be encouraged, Terre Rouge's version being a delightfully drinkable mix of apple and peach with a rich, full mouth that finishes crisp. Grown at high elevation (2,200 feet) on the Hawk Creek Vineyard in Sierra Foothills, a small production worth seeking out. And it's only 13% alcohol."
Bordeaux-style Red Blend,South Africa,Paarl,Glen Carlou,20.0,91.0,"This blend of 52% Cabernet Sauvignon, 16% Malbec, 14% Merlot, 13% Petit Verdot and 5% Cabernet Franc offers a minty character that prevails among the intense black plum and berry aromas and flavors. Well-integrated, with a decadent crushed velvet texture and a long oak-kissed finish reminiscent of dark chocolate-covered cherries."
Riesling,Italy,Northeastern Italy,Cantina Produttori San Michele Appiano,20.0,91.0,"This dry Riesling boasts intense apricot, yellow peach, citrus and smoky mineral sensations. The rich but polished palate is restrained by crisp acidity that leaves the mouth feeling fresh and clean."
Pinot Gris,US,Oregon,Coelho,20.0,91.0,"Rich and ripe, with some Chardonnay-like power, it's a lush mix of tropical fruit flavors—guava and banana and more. A lovely vein of caramel runs across the palate, and makes this simply irresistible."
Bordeaux-style Red Blend,France,Bordeaux,Château Hourtin-Ducasse,20.0,91.0,Low yields have produced a concentrated wine. The tannins are powerful and dense—a fine foil to the ripe juicy black-currant fruit. The impressive wine is going to take its time to be ready to drink with richness and tight structure. Drink from 2021.
Grenache Blanc,US,California,Vintage Cowboy,20.0,91.0,"Honeysuckle, wet cement and ripe nectarine show on the tightly wound and bright nose of this bottling from a winery near the Pozo Saloon in southeastern Paso. A ripping acidity starts off the sip, where bright lime blossoms, honeydew rind and light lemongrass flavors make for a very tasty wine."
Rhône-style Red Blend,US,Washington,Southard,20.0,91.0,"This bone-dry, Southern Rhône-style blend consists of 61% Grenache, 18% Mourvèdre, 12% Cinsault and 9% Counoise. Elegant and detailed flavors of light berry and Bing cherry are dusted with a cocoa accent."
Petite Sirah,US,Washington,Thurston Wolfe,20.0,91.0,"This is a brambly, blueberry-laden Petite Sirah, with black cherry, plum and chocolate highlights. Firm, ripe tannins bring a streak of lemon verbena. It's gently earthy, absolutely flavorful and drinking beautifully."
Viognier,US,Washington,Alexandria Nicole,20.0,91.0,"Very fresh and juicy, this mouth-pleasing Viognier mixes peaches and grapefruit, zippy acidity, with highlights of lemon zest. It's beautifully balanced, detailed and refreshing."
Viognier,US,California,Zaca Mesa,20.0,91.0,"Rich but not overly tropical on the nose, this bottling shows buttered nectarine and a touch of honeydew on the nose. The palate is expertly wound up, with bright tangerine, ripe melon and creamy cherimoya, all reined in by a wet cement-like texture."
Sémillon,US,Washington,Amavi,20.0,91.0,"This Sémillon is made from all Walla Walla Valley fruit, with 11% Sauvignon Blanc in the blend. It was barrel-fermented and -aged, and the time in barrel and on the lees has given the wine an extra dimension of texture. The fruit flavors mix white peach and ripe apple, with a streak of chamomile tea."
Cabernet Sauvignon,Argentina,Mendoza Province,Casarena,20.0,91.0,"This is a rich, plush Cabernet, with a sense of elegance. It smells like prune, blackberry, coffee and toast. The concentrated palate boasts prune, olive, coffee and dark berry flavors. Drink or hold for a few years."
Rhône-style White Blend,US,Washington,Alexandria Nicole,20.0,91.0,"This Rhône-style blend—two-thirds Roussanne, the rest divided between Marsanne and Viognier—was made using grapes sourced from the estate Destiny Ridge Vineyard. Intriguing aromas suggest clover, sweet grass and honeysuckle, while the flavors run from stone fruits into hints of light tropical fruits. It's lovely and evocative."
Chenin Blanc,US,Oregon,Ledger David,20.0,91.0,"Chenin Blanc is quite rare in Oregon, and this wine, from vines planted just five years previously, may inspire others to follow suit. Aromas of fresh herb and citrus oil lead into a tangy palate with lime, lemon verbena and expressive minerality. The balance and length are just right, and the varietal character is in evidence throughout."
Grüner Veltliner,Austria,Traisental,Markus Huber,20.0,91.0,"Markus Huber manages to get great ripe, full flavors from his Grüners. That's the main character of this wine, from a single vineyard, that offers rich creamed pear and nutmeg flavors along with a shot of acidity to contrast. Screwcap."
Chardonnay,US,Washington,L'Ecole No. 41,20.0,91.0,"From a very cool vintage, this wine takes full advantage of the flavors the year delivered. Bracing and fresh, with a lively mix of lime and citrus fruits, its vivid acidity and a wash of wet rock, give it life and length across the palate. Complex and textural, this is a lovely wine."
Riesling,Australia,South Australia,Penfolds,20.0,91.0,"Features an admirably lean, elegantly fine line of acids from start to finish, off of which hang notes of crushed stone, green apple and lime, with just the merest hints of riper fruit, like nectarine. Crisp and long, this should develop well over the next 5–10 years."
Shiraz,Israel,Galilee,Or Haganuz,20.0,91.0,"Aromas of black cherry and green pepper prepare the taste buds for flavors of black cherry, blackberry, green bell pepper and espresso bean. Silky tannins glide across the palate as flavors evolve from fruit forward to slightly vegetal. The finished is marked by a return to bright berry notes and a touch of eucalyptus."
Grenache,Australia,South Australia,D'Arenberg,20.0,91.0,"The 2011 vintage wasn't an easy one in South Australia to say the least, which makes this wine all the more admirable. Mouthwatering, peppery, red-currant fruit remains firm and focused from start to finish, ending on a crisp note. Drink now–2023."
Cabernet Franc,France,Loire Valley,Domaine les Pins,20.0,91.0,"This is a solid, firm and ripe wine. With its dry structure and still youthful tannins, it has weight and the potential to age. The smoky aromas and fragrant berry fruits are bursting out of the glass, giving a ripe wine that should be drunk after 2016."
Grüner Veltliner,Austria,Weinviertel,Dürnberg,20.0,91.0,"Smoky hints play about the nose but the palate comes through with green pears, pear peel, grapefruit zest and yeasty, peppery savoriness. Layers of flavor emerge, and savory spice wins the day. This will be compelling with soft cheeses."
Shiraz,Australia,South Australia,D'Arenberg,20.0,91.0,"Muscular and slightly austere, this wine does offer attractive notes of mint and blueberry. Some meaty nuances creep in, adding welcome complexity. Although firm, it's approachable now, yet should age well through 2025."
Shiraz,Australia,South Australia,D'Arenberg,20.0,91.0,"This is made in an earthy-savory style, offering hints of roasted meat, black olives and espresso. It's also firmly constructed, with firm tannins that suggest a couple of years of cellar time would do it some good. Drink 2018 through 2025."
Carmenère,Chile,Rapel Valley,Misiones de Rengo,20.0,91.0,"Looking for a juggernaut red that cries out for steak? Give this lush, stylish, nearly flawless Carmenère a shot and you won't be disappointed. The nose opens with toast, mineral, herbs, olive and berry fruit, and the palate is more of the same. In terms of feel, it's smooth and elegant, yet ripe and forceful. Finishes crusty and long. A winner from a winery that up until now hasn't shown much."
Sauvignon Blanc,US,California,Still Waters,20.0,91.0,"Banana blends with cut grass for a tropical-meets-traditional take. On the palate, the wine is very soft, reminiscent of pineapple-flavored whipped cream, and there is a nice touch of smoke as well."
G-S-M,US,California,Zaca Mesa,20.0,91.0,"The exciting range of aromas include the rose petal lift of Grenache and a citrusy mix of grapefruit and grenadine, as well as iron, whole peppercorns and Dr. Pepper soda. It's quite smooth once sipped, with tart cranberry-orange fruit and noticeable tannins."
Viognier,US,California,Sensorium,20.0,91.0,"Orange marmalade, lemon meringue and warm melon aromas open this wine from the cool Templeton Gap area southeast of Paso Robles. The flavors show off the brighter elements of the grape, with caramelized pear giving way to slate in the midpalate and a nicely bitter finish of orange peel."
Gewürztraminer,France,Alsace,Domaine Jean-Luc Mader,20.0,91.0,"If you want spicy Gewurztraminer then go no further. This has lychee, sweet spice and apricot notes with just a touch of honey. It's not quite dry, as its richness propels it into a richer category. Drink now and over the next year or two."
Gewürztraminer,France,Alsace,Domaine Roland Schmitt,20.0,91.0,"A rich, ripe wine and full in the mouth yet still developing. It has weight, fine spiciness and tropical fruit flavors with just a hint of honey to balance its dryness. Full-bodied while stylish. Keep for 2–3 years."
Red Blend,Austria,Burgenland,Esterházy,20.0,91.0,"Structured tannins dominate this blend of Blaufränkisch, Merlot and Cabernet Sauvignon right now, but dense yet sleeping plummy fruit and oaky spice are waiting in the background for their time to shine. This will relax into something slinky and fruitful if you have the patience to wait a year or two; drink after 2016."
Sauvignon Blanc,US,California,Alysian,20.0,91.0,"Part stainless-steel fermented, part neutral French oak-fermented, this light, refreshingly upfront wine offers bristling acidity around shocks of grapefruit, lemon and lime, settling into itself as it goes. The oak is well integrated and nicely subtle, allowing the fruit and minerality to speak."
Chardonnay,US,Washington,Columbia Crest,20.0,91.0,"All coming from Block 95 of the winery's estate vineyard, this is a beguiling wine with a complex range of notes that include caramel, spice, squash and cream. It shows excellent balance, length and finesse, with the enjoyment as much about mouth-feel as flavor."
Grenache,US,California,Bonny Doon,20.0,91.0,"This bottling from five vineyards across the region, which also includes 18% Syrah, is dark and concentrated on the nose with aromas of plum, crushed gravel, rose petals, composting violets and gamy pepper-crusted meats. The palate is more fresh and floral, with lilac touches and kola nut spice, proving lighter weight in body and easy to quaff."
Bordeaux-style Red Blend,France,Bordeaux,Château Ricaud,20.0,91.0,"New wood aromas set the scene for this ripe, fuity and toasty wine. It has plenty of black plum fruit, rich tannins and a dry core that will soften. The texture is polished and ripe. Drink from 2020."
Portuguese Red,Portugal,Alentejano,Encostas de Estremoz,20.0,91.0,"This is a rich, powerful wine. It is dense, with dusty tannins and great swathes of ripe black fruits. The acidity, crisp and generous at the same time, is well integrated with the fruit. Its solid, firm texture promises aging. Drink this serious, concentrated wine from 2019."
Cabernet Sauvignon,Chile,Colchagua Valley,Odfjell,20.0,91.0,"Great wine and great value, too. The nose is a blend of floral, graphite and cassis aromas, while the firm and rugged palate is packed with sweet, friendly cookie, chocolate, coffee and berry flavors. If the tannins seem a little aggressive now, time should come to the rescue. Otherwise, there's very little to pick at and a lot more to praise."
Cabernet Sauvignon,Australia,Western Australia,Howard Park,20.0,91.0,"Howard Park's single-vineyard wines continue to impress for their value and consistency. The 2004 Leston is a richly textured, velvety Cab, marked by earthy, loamy scents and classic cassis, vanilla and tobacco flavors. Drink 2009–2015."
Bordeaux-style Red Blend,France,Bordeaux,Château des Arnauds,20.0,91.0,"Vines with an average age of 30 years give this wine good intensity that balances the firm, dark tannins. It's a powerful, concentrated Merlot-based wine, big and generous. Ripe plums and berries show strongly through the tannic structure. Give this wine until 2017 before drinking."
Riesling,Germany,Mosel,Reichsgraf von Kesselstatt,20.0,91.0,"A whiff of pine frond lends an invigorating alpine air to this lean, refreshingly mineral dry Riesling. The palate is crisp and cutting, bursting with fresh lime, gooseberry and quince flavors. Zesty acidity draws out a long, piercing finish. Drink now through 2020."
Syrah,US,California,Klinker Brick,20.0,91.0,"Rich and meaty enough to sink your teeth into, this dark and deep Syrah has toasty, smoky aromas. Generous blackberry and boysenberry flavors that are full but not sweet accompany a velvety texture. This is tasty now, but has the layered tannins and acidity for aging. Best now through 2019."
Blaufränkisch,Austria,Burgenland,Esterházy,20.0,91.0,"Pure blueberry and red cherry fruit is pervaded by lashings of aromatic white pepper. It tingles at the edges and gives even more freshness to the fruit. The body is structured by fine-grained but palpable tannins and leaves a long, aromatic trail of cherry behind. This is elegant and seductive."
Shiraz,Australia,South Australia,Penley Estate,20.0,91.0,"The cool Coonawarra region can produce Shiraz with more elegance and complexity than is seen in hot regions, and this is a fine example, balancing ample weight with juicy acidity. Toasty oak frames flavors of cassis and mint, blackberry and spice. Drink this great value from now–2020."
Gamay,France,Beaujolais,Vignobles Bulliat,20.0,91.0,This wine impresses with its richness and ripe red fruits. It comes from a 20-acre vineyard that gives the wine concentration and juicy acidity. Acidity and the crisp aftertaste give the wine its final lift.
Zinfandel,US,California,Concrete,20.0,91.0,"This full-bodied Zinfandel adds in 10% Cabernet Franc and 5% Cabernet Sauvignon, which is an unusual blend but works really well. It shows a great mix of fruit and spice flavors, with a rich, smooth texture. It's lightly tannic, oozing raspberry and blackberry flavors on the palate and through the finish."
Pinot Noir,US,California,Martin Ray,20.0,91.0,"This is a memorably refreshing and reasonably complex effort, a crisp, delicious mix of tangerine, grapefruit and fresh strawberry made by the saignée method. Meaty, with texture, it's round, balanced and dry. Stock up."
Garnacha,US,Washington,Idilico,20.0,91.0,"Aromas of fresh raspberries, flowers and dried herbs are followed by full-bodied, succulent red-fruit flavors. It shows a pleasing sense of purity and elegance to the jammy fruit flavors."
Rhône-style White Blend,US,California,Tablas Creek,20.0,91.0,"Light banana flambée, vanilla meringue and yellow-cake aromas show on the generous but not overbearing nose of this blend of 49% Grenache Blanc, 31% Viognier, 12% Roussanne and 8% Marsanne. The tropicality of the nose disappears on the palate, which is tart and grippy with green apple and Anjou pear flavors as well as a touch of melon and smoke."
Grüner Veltliner,Austria,Kremstal,Hermann Moser,20.0,91.0,"Spicy, exotic and dry, this wine is full of ripe lychee and mango fruits. Rounded, full and deliciously rich, it's perfect for sipping or for accompanying rich fish sauces. A wine for aging over 2–3 years. Screwcap."
Mourvèdre,Australia,South Australia,Hewitson,20.0,91.0,"The cuttings for this vineyard were taken from the Old Garden Vineyard, so despite it's relatively young age, it has pedigree. Sage, smoke and black olive notes mingle easily on the nose, backed by flavors of vanilla, black cherry and mocha. It's medium to full in body and creamy in texture, with a smooth, silky finish."
